census,OA,PCS
2011,E00008771,E8  1
2011,E00013456,EC1V0
2011,E00014059,W8  6
2011,E00016082,SW9 6
2011,E00017154,CR4 3
2011,E00021291,E3  2
2011,E00166781,RM1 3
2011,E00167138,E14 9
2011,E00167499,SE1 6
2011,E00169491,LE1 1
2011,E00169604,LS6 3
2011,E00169799,LS121
2011,E00171320,PE7 8
2011,E00171521,SW9 9
2011,E00171526,SW8 2
2011,E00173173,WA2 7
2011,E00173197,SN7 7
2011,E00173707,SE233
2011,E00173927,IP279
2011,E00174693,HA9 0
2011,E00175048,E6  3
2011,E00175248,SW1H0
2011,E00175653,B3  1
2011,E00175702,B73 5
2011,E00175716,B1  2
2011,E00175759,B12 0
2011,E00176218,E8  3
2011,E00176227,E9  5
2011,E00176231,E9  5
2011,E00176244,N1  7
2011,E00176268,E9  7
2011,E00176568,SE186
2011,S00088993,AB251
2011,S00089467,AB245
2011,S00090329,AB252
2011,S00090471,AB241
2011,S00090533,AB251
2011,S00091674,AB338
2011,S00093209,DD7 7
2011,S00096587,G82 2
2011,S00096865,G81 4
2011,S00096870,G81 4
2011,S00097015,G81 4
2011,S00097017,G81 4
2011,S00097019,G81 4
2011,S00097949,DG2 9
2011,S00098617,DD2 3
2011,S00098761,DD3 6
2011,S00098789,DD3 6
2011,S00099463,DD1 2
2011,S00099517,DD3 7
2011,S00104523,EH7 6
2011,S00104643,EH8 8
2011,S00106331,EH177
2011,S00106332,EH177
2011,S00106337,EH177
2011,S00107050,EH6 6
2011,S00107052,EH6 6
2011,S00107054,EH6 6
2011,S00107740,FK1 1
2011,S00107742,FK1 1
2011,S00107747,FK1 1
2011,S00107748,FK1 1
2011,S00107750,FK1 1
2011,S00108691,FK1 1
2011,S00108693,FK1 1
2011,S00108769,FK1 1
2011,S00109683,FK104
2011,S00109966,KY1 2
2011,S00111324,KY2 6
2011,S00111595,KY1 2
2011,S00111596,KY1 2
2011,S00112172,G1  2
2011,S00112174,G1  2
2011,S00112185,G2  7
2011,S00112277,G3  8
2011,S00112327,G4  0
2011,S00112336,G4  0
2011,S00112349,G5  0
2011,S00112420,G11 6
2011,S00112432,G11 6
2011,S00112845,G13 3
2011,S00112847,G13 3
2011,S00113081,G15 7
2011,S00113321,G20 0
2011,S00113342,G21 1
2011,S00113344,G21 1
2011,S00113347,G21 1
2011,S00113402,G21 3
2011,S00113495,G22 5
2011,S00113496,G22 5
2011,S00113607,G22 7
2011,S00113773,G31 4
2011,S00114200,G33 3
2011,S00114202,G33 3
2011,S00114583,G41 5
2011,S00114584,G41 5
2011,S00114869,G43 1
2011,S00115261,G46 8
2011,S00115605,G52 3
2011,S00115975,G20 7
2011,S00115983,G33 1
2011,S00116004,G22 5
2011,S00116056,G31 4
2011,S00116153,G40 3
2011,S00116189,G5  0
2011,S00116251,G46 8
2011,S00116300,G1  1
2011,S00116338,G11 7
2011,S00116396,G4  0
2011,S00116399,G5  9
2011,S00116405,G11 7
2011,S00116412,G13 3
2011,S00116415,G15 6
2011,S00116418,G15 7
2011,S00116422,G20 7
2011,S00116430,G20 8
2011,S00116433,G20 0
2011,S00116437,G21 1
2011,S00116439,G21 1
2011,S00116441,G21 1
2011,S00116445,G21 2
2011,S00116449,G21 3
2011,S00116452,G21 3
2011,S00116453,G21 3
2011,S00116455,G21 4
2011,S00116458,G21 4
2011,S00116460,G21 4
2011,S00116461,G21 4
2011,S00116463,G21 4
2011,S00116466,G22 5
2011,S00116471,G22 7
2011,S00116473,G22 7
2011,S00116475,G22 7
2011,S00116478,G22 7
2011,S00116488,G31 4
2011,S00116493,G32 9
2011,S00116496,G32 9
2011,S00116525,G43 1
2011,S00116527,G43 1
2011,S00116529,G43 1
2011,S00116535,G46 8
2011,S00116545,G52 2
2011,S00116547,G52 2
2011,S00116549,G52 2
2011,S00116552,G52 3
2011,S00116563,G40 3
2011,S00116564,G11 7
2011,S00116624,G3  8
2011,S00116653,G4  0
2011,S00116655,G4  0
2011,S00116656,G4  0
2011,S00116658,G4  0
2011,S00116663,G4  0
2011,S00116675,G5  8
2011,S00116676,G5  8
2011,S00116678,G5  8
2011,S00116686,G5  9
2011,S00116692,G5  0
2011,S00116694,G5  0
