type,idA,idB
PCS,AB106,AB101
PCS,AB115,AB101
PCS,AB116,AB101
PCS,AB154,AB101
PCS,AB245,AB101
PCS,AB251,AB101
PCS,AB252,AB101
PCS,AB101,AB106
PCS,AB107,AB106
PCS,AB116,AB106
PCS,AB117,AB106
PCS,AB154,AB106
PCS,AB157,AB106
PCS,AB106,AB107
PCS,AB116,AB107
PCS,AB125,AB107
PCS,AB157,AB107
PCS,AB159,AB107
PCS,AB101,AB115
PCS,AB116,AB115
PCS,AB117,AB115
PCS,AB245,AB115
PCS,AB101,AB116
PCS,AB106,AB116
PCS,AB107,AB116
PCS,AB115,AB116
PCS,AB117,AB116
PCS,AB106,AB117
PCS,AB115,AB117
PCS,AB116,AB117
PCS,AB119,AB118
PCS,AB123,AB118
PCS,AB118,AB119
PCS,AB118,AB123
PCS,AB124,AB123
PCS,AB125,AB123
PCS,AB123,AB124
PCS,AB125,AB124
PCS,AB393,AB124
PCS,AB398,AB124
PCS,AB107,AB125
PCS,AB123,AB125
PCS,AB124,AB125
PCS,AB130,AB125
PCS,AB140,AB125
PCS,AB159,AB125
PCS,AB315,AB125
PCS,AB316,AB125
PCS,AB393,AB125
PCS,AB398,AB125
PCS,AB125,AB130
PCS,AB140,AB130
PCS,AB158,AB130
PCS,AB159,AB130
PCS,AB125,AB140
PCS,AB130,AB140
PCS,AB158,AB140
PCS,AB315,AB140
PCS,AB326,AB140
PCS,AB101,AB154
PCS,AB106,AB154
PCS,AB155,AB154
PCS,AB156,AB154
PCS,AB157,AB154
PCS,AB158,AB154
PCS,AB252,AB154
PCS,AB154,AB155
PCS,AB156,AB155
PCS,AB165,AB155
PCS,AB166,AB155
PCS,AB252,AB155
PCS,AB253,AB155
PCS,AB154,AB156
PCS,AB155,AB156
PCS,AB158,AB156
PCS,AB165,AB156
PCS,AB166,AB156
PCS,AB219,AB156
PCS,AB106,AB157
PCS,AB107,AB157
PCS,AB154,AB157
PCS,AB158,AB157
PCS,AB159,AB157
PCS,AB130,AB158
PCS,AB140,AB158
PCS,AB154,AB158
PCS,AB156,AB158
PCS,AB157,AB158
PCS,AB159,AB158
PCS,AB210,AB158
PCS,AB219,AB158
