PCA,PCD,PCS,live,terminated,total
AB,33,93,17052,21844,38896
AL,10,35,7635,3609,11244
B,77,228,40697,20237,60934
BA,19,67,15038,4889,19927
BB,13,66,13136,5699,18835
BD,24,94,16913,6383,23296
BH,26,85,14990,7163,22153
BL,10,46,10164,3699,13863
BN,30,101,21151,13160,34311
BR,8,30,6610,3808,10418
BS,37,137,26652,18669,45321
BT,80,234,48733,10934,59667
CA,28,66,12615,3493,16108
CB,16,64,10563,8525,19088
CF,35,129,22962,19542,42504
CH,24,194,18579,17912,36491
CM,25,82,17647,9489,27136
CO,16,60,13341,4809,18150
CR,8,35,7675,6710,14385
CT,21,68,14735,4955,19690
CV,24,96,20403,7904,28307
CW,12,41,9571,4485,14056
DA,18,49,8902,3992,12894
DD,11,44,8932,2372,11304
DE,23,83,17237,12810,30047
DG,15,34,6795,1022,7817
DH,9,40,8987,2534,11521
DL,17,59,13121,3483,16604
DN,32,106,21825,6268,28093
DT,11,32,7801,2042,9843
DY,14,51,10819,3459,14278
E,20,85,16256,11976,28232
EC,16,49,3311,9413,12724
EH,54,133,24494,8058,32552
EN,11,40,8315,4680,12995
EX,33,109,22259,6445,28704
FK,21,43,7613,1955,9568
FY,8,34,7191,2825,10016
G,50,188,31648,14927,46575
GL,27,99,20896,7796,28692
GU,38,115,21859,13759,35618
HA,10,47,10074,7489,17563
HD,9,34,7065,3646,10711
HG,5,22,4348,1911,6259
HP,24,65,13784,7998,21782
HR,9,25,6399,1533,7932
HS,9,10,967,1044,2011
HU,20,60,10996,4389,15385
HX,7,29,5629,1783,7412
IG,11,30,5857,4149,10006
IP,33,99,21129,5834,26963
IV,49,66,7315,3370,10685
KA,30,71,11541,2589,14130
KT,24,72,13957,8390,22347
KW,16,18,1848,264,2112
KY,16,52,10052,3023,13075
L,41,382,20362,10558,30920
LA,23,57,11712,2933,14645
LD,8,12,2184,388,2572
LE,21,112,22400,12237,34637
LL,67,130,20100,4020,24120
LN,13,47,9292,2762,12054
LS,29,117,21437,10456,31893
LU,7,29,6227,4195,10422
M,43,175,31488,26988,58476
ME,20,72,16553,5870,22423
MK,26,95,15531,7320,22851
ML,12,41,9652,2104,11756
N,23,87,16401,12724,29125
NE,59,184,32890,12078,44968
NG,29,143,28669,8614,37283
NN,19,81,16182,8751,24933
NP,18,73,13696,16461,30157
NR,35,101,23522,4809,28331
NW,11,70,12422,11076,23498
OL,16,62,12944,4759,17703
OX,26,105,19620,15246,34866
PA,62,87,9294,2621,11915
PE,36,126,26450,12429,38879
PH,40,53,6067,1425,7492
PL,35,82,17461,5032,22493
PO,34,112,23893,9020,32913
PR,11,66,13115,6976,20091
RG,30,129,23026,22502,45528
RH,20,73,15702,8286,23988
RM,20,58,9791,5459,15250
S,45,196,33141,15852,48993
SA,51,126,23013,6173,29186
SE,28,98,19441,13885,33326
SG,19,54,11747,5060,16807
SK,19,90,16082,8589,24671
SL,10,49,10360,6147,16507
SM,7,23,4220,2394,6614
SN,18,72,14012,7059,21071
SO,23,108,18042,21853,39895
SP,11,39,8601,2819,11420
SR,8,34,6492,2161,8653
SS,17,56,11625,5477,17102
ST,21,79,17488,5069,22557
SW,27,115,19354,16890,36244
SY,25,72,14412,2789,17201
TA,24,57,11780,2977,14757
TD,15,24,4455,761,5216
TF,13,36,6915,2292,9207
TN,40,109,22484,10038,32522
TQ,14,42,9901,3255,13156
TR,26,57,12171,3263,15434
TS,29,93,17468,5445,22913
TW,20,65,10773,9232,20005
UB,11,34,6943,4438,11381
W,25,109,18013,21524,39537
WA,16,83,17859,7505,25364
WC,14,37,2562,4261,6823
WD,11,44,7080,8598,15678
WF,17,67,14447,3923,18370
WN,8,32,7091,2030,9121
WR,15,39,8656,3786,12442
WS,15,56,10077,4822,14899
WV,16,51,9354,3789,13143
YO,29,103,18711,15737,34448
ZE,3,3,628,101,729
TOTAL UK,2800,9457,1739565,883239,2622804
