PCS,RGN
B79 0,E12000005
B79 0,E12000004
BB186,E12000002
BB186,E12000003
BD233,E12000003
BD233,E12000002
BD234,E12000002
BD234,E12000003
BH235,E12000009
BH235,E12000008
BH237,E12000009
BH237,E12000008
BH242,E12000009
BH242,E12000008
BH317,E12000009
BH317,E12000008
BR6 7,E12000007
BR6 7,E12000008
BR8 7,E12000008
BR8 7,E12000007
BR8 8,E12000008
BR8 8,E12000007
CA8 2,E12000002
CA8 2,E12000001
CA8 7,E12000001
CA8 7,E12000002
CA9 3,E12000002
CA9 3,E12000001
CH1 4,E12000002
CH1 4,WLS_RGN
CH1 6,E12000002
CH1 6,WLS_RGN
CH4 8,E12000002
CH4 8,WLS_RGN
CH4 9,E12000002
CH4 9,WLS_RGN
CM133,E12000006
CM133,E12000007
CM145,E12000006
CM145,E12000007
CR3 0,E12000007
CR3 0,E12000008
CR3 5,E12000008
CR3 5,E12000007
CR5 1,E12000007
CR5 1,E12000008
CR5 3,E12000007
CR5 3,E12000008
CR6 9,E12000008
CR6 9,E12000007
CR8 5,E12000007
CR8 5,E12000008
CV100,E12000005
CV100,E12000004
CV116,E12000005
CV116,E12000004
CV130,E12000004
CV130,E12000005
CV230,E12000005
CV230,E12000004
CV238,E12000004
CV238,E12000005
CV9 1,E12000005
CV9 1,E12000004
CV9 3,E12000004
CV9 3,E12000005
CW123,E12000002
CW123,E12000005
CW2 5,E12000002
CW2 5,E12000005
CW3 9,E12000005
CW3 9,E12000002
DA1 3,E12000007
DA1 3,E12000008
DA1 4,E12000007
DA1 4,E12000008
DA1 5,E12000008
DA1 5,E12000007
DA145,E12000007
DA145,E12000008
DA5 1,E12000007
DA5 1,E12000008
DA5 2,E12000007
DA5 2,E12000008
DE139,E12000005
DE139,E12000004
DE150,E12000004
DE150,E12000005
DE159,E12000004
DE159,E12000005
DE6 2,E12000004
DE6 2,E12000005
DE6 5,E12000004
DE6 5,E12000005
DG165,SCO_RGN
DG165,E12000002
DL117,E12000001
DL117,E12000003
DL120,E12000001
DL120,E12000002
DL129,E12000001
DL129,E12000003
DL2 1,E12000001
DL2 1,E12000003
DL2 2,E12000001
DL2 2,E12000003
DL2 3,E12000001
DL2 3,E12000003
DN104,E12000004
DN104,E12000003
DN106,E12000003
DN106,E12000004
DN119,E12000003
DN119,E12000004
DN173,E12000003
DN173,E12000004
DN208,E12000003
DN208,E12000004
DN209,E12000003
DN209,E12000004
DN213,E12000004
DN213,E12000003
DN214,E12000003
DN214,E12000004
DN365,E12000004
DN365,E12000003
DN370,E12000003
DN370,E12000004
DN378,E12000004
DN378,E12000003
DN386,E12000003
DN386,E12000004
DN396,E12000003
DN396,E12000004
DN417,E12000003
DN417,E12000004
DN418,E12000003
DN418,E12000004
DN9 2,E12000003
DN9 2,E12000004
E4  7,E12000006
E4  7,E12000007
EN2 8,E12000007
EN2 8,E12000006
EN4 0,E12000007
EN4 0,E12000006
EN5 3,E12000007
EN5 3,E12000006
EN5 4,E12000006
EN5 4,E12000007
EN6 5,E12000006
EN6 5,E12000007
EN7 5,E12000006
EN7 5,E12000007
EN8 7,E12000006
EN8 7,E12000007
EN8 8,E12000006
EN8 8,E12000007
EN9 1,E12000006
EN9 1,E12000007
GL168,E12000009
GL168,WLS_RGN
GL170,E12000009
GL170,E12000005
GL179,E12000009
GL179,E12000005
GL181,E12000009
GL181,E12000005
GL193,E12000009
GL193,E12000005
GL194,E12000005
GL194,E12000009
GL206,E12000005
GL206,E12000009
GL207,E12000005
GL207,E12000009
GL208,E12000009
GL208,E12000005
GL556,E12000009
GL556,E12000005
GL560,E12000009
GL560,E12000005
GL560,E12000008
GL569,E12000009
GL569,E12000005
GL7 3,E12000008
GL7 3,E12000009
HA5 4,E12000007
HA5 4,E12000006
HA6 2,E12000006
HA6 2,E12000007
HA6 3,E12000006
HA6 3,E12000007
HA7 3,E12000007
HA7 3,E12000006
HP234,E12000006
HP234,E12000008
HP235,E12000006
HP235,E12000008
HP236,E12000006
HP236,E12000008
HP4 1,E12000006
HP4 1,E12000008
HP4 2,E12000006
HP4 2,E12000008
HP4 3,E12000006
HP4 3,E12000008
HP5 1,E12000008
HP5 1,E12000006
HP8 4,E12000008
HP8 4,E12000006
HR3 5,E12000005
HR3 5,WLS_RGN
HR3 6,E12000005
HR3 6,WLS_RGN
HR5 3,E12000005
HR5 3,WLS_RGN
HR8 1,E12000005
HR8 1,E12000009
HR8 2,E12000005
HR8 2,E12000009
HR9 7,E12000005
HR9 7,E12000009
IG7 4,E12000006
IG7 4,E12000007
IG7 5,E12000006
IG7 5,E12000007
IG7 6,E12000006
IG7 6,E12000007
IG8 0,E12000007
IG8 0,E12000006
IG8 8,E12000007
IG8 8,E12000006
IG8 9,E12000007
IG8 9,E12000006
IG9 5,E12000006
IG9 5,E12000007
IG9 6,E12000006
IG9 6,E12000007
KT172,E12000008
KT172,E12000007
KT173,E12000008
KT173,E12000007
KT187,E12000008
KT187,E12000007
KT199,E12000008
KT199,E12000007
KT220,E12000008
KT220,E12000007
KT4 7,E12000007
KT4 7,E12000008
KT6 4,E12000007
KT6 4,E12000008
KT6 5,E12000007
KT6 5,E12000008
KT6 6,E12000007
KT6 6,E12000008
KT7 0,E12000008
KT7 0,E12000007
KT8 9,E12000007
KT8 9,E12000008
KT9 1,E12000007
KT9 1,E12000008
LA105,E12000002
LA105,E12000003
LA2 7,E12000003
LA2 7,E12000002
LA2 8,E12000002
LA2 8,E12000003
LA6 3,E12000003
LA6 3,E12000002
LD7 1,WLS_RGN
LD7 1,E12000005
LD8 2,E12000005
LD8 2,WLS_RGN
LE103,E12000004
LE103,E12000005
LE175,E12000004
LE175,E12000005
LE176,E12000004
LE176,E12000005
LL145,WLS_RGN
LL145,E12000005
LN7 6,E12000003
LN7 6,E12000004
LN8 6,E12000004
LN8 6,E12000003
LU6 1,E12000006
LU6 1,E12000008
LU6 2,E12000006
LU6 2,E12000008
LU7 0,E12000006
LU7 0,E12000008
LU7 9,E12000006
LU7 9,E12000008
MK168,E12000008
MK168,E12000004
MK178,E12000006
MK178,E12000008
MK179,E12000006
MK179,E12000008
MK196,E12000004
MK196,E12000008
MK197,E12000004
MK197,E12000008
MK438,E12000006
MK438,E12000008
NN100,E12000004
NN100,E12000006
NN109,E12000004
NN109,E12000006
NN116,E12000004
NN116,E12000005
NN128,E12000004
NN128,E12000008
NN135,E12000004
NN135,E12000008
NN297,E12000004
NN297,E12000006
NN7 2,E12000004
NN7 2,E12000008
NP167,E12000009
NP167,WLS_RGN
NP253,WLS_RGN
NP253,E12000005
NP254,E12000009
NP254,WLS_RGN
NP255,E12000005
NP255,WLS_RGN
NP7 8,WLS_RGN
NP7 8,E12000005
OL146,E12000003
OL146,E12000002
OL147,E12000003
OL147,E12000002
OL148,E12000003
OL148,E12000002
OL159,E12000002
OL159,E12000003
OX155,E12000005
OX155,E12000008
OX156,E12000008
OX156,E12000005
OX171,E12000004
OX171,E12000005
OX171,E12000008
OX172,E12000004
OX172,E12000008
OX173,E12000004
OX173,E12000008
OX184,E12000008
OX184,E12000009
OX277,E12000008
OX277,E12000004
OX7 5,E12000008
OX7 5,E12000005
OX7 6,E12000008
OX7 6,E12000009
PE120,E12000004
PE120,E12000006
PE134,E12000006
PE134,E12000004
PE135,E12000004
PE135,E12000006
PE147,E12000006
PE147,E12000004
PE344,E12000006
PE344,E12000004
PE6 0,E12000004
PE6 0,E12000006
PE6 9,E12000004
PE6 9,E12000006
PE8 4,E12000004
PE8 4,E12000006
PE8 6,E12000004
PE8 6,E12000006
PE9 1,E12000004
PE9 1,E12000006
PE9 2,E12000004
PE9 2,E12000006
PE9 3,E12000004
PE9 3,E12000006
PE9 4,E12000004
PE9 4,E12000006
RG170,E12000008
RG170,E12000009
RM142,E12000007
RM142,E12000006
RM143,E12000006
RM143,E12000007
RM154,E12000006
RM154,E12000007
RM4 1,E12000006
RM4 1,E12000007
S11 7,E12000003
S11 7,E12000004
S12 3,E12000003
S12 3,E12000004
S17 3,E12000003
S17 3,E12000004
S8  8,E12000003
S8  8,E12000004
S80 3,E12000003
S80 3,E12000004
S81 8,E12000003
S81 8,E12000004
SK110,E12000002
SK110,E12000005
SK132,E12000004
SK132,E12000002
SK148,E12000002
SK148,E12000004
SK170,E12000004
SK170,E12000005
SK223,E12000004
SK223,E12000002
SK237,E12000002
SK237,E12000004
SL9 0,E12000008
SL9 0,E12000006
SM2 5,E12000007
SM2 5,E12000008
SM2 7,E12000007
SM2 7,E12000008
SM3 8,E12000007
SM3 8,E12000008
SM5 4,E12000007
SM5 4,E12000008
SM7 1,E12000007
SM7 1,E12000008
SM7 3,E12000008
SM7 3,E12000007
SN6 7,E12000009
SN6 7,E12000008
SN6 8,E12000008
SN6 8,E12000009
SN8 2,E12000009
SN8 2,E12000008
SO516,E12000008
SO516,E12000009
SP110,E12000008
SP110,E12000009
SP119,E12000008
SP119,E12000009
SP4 0,E12000009
SP4 0,E12000008
SP5 1,E12000008
SP5 1,E12000009
SP5 2,E12000009
SP5 2,E12000008
SP5 5,E12000009
SP5 5,E12000008
SP6 1,E12000008
SP6 1,E12000009
SP6 3,E12000008
SP6 3,E12000009
SP9 7,E12000008
SP9 7,E12000009
ST145,E12000005
ST145,E12000004
ST7 1,E12000005
ST7 1,E12000002
ST7 3,E12000002
ST7 3,E12000005
ST7 4,E12000005
ST7 4,E12000002
SY107,E12000005
SY107,WLS_RGN
SY109,E12000005
SY109,WLS_RGN
SY132,E12000005
SY132,WLS_RGN
SY133,E12000005
SY133,WLS_RGN
SY134,E12000002
SY134,E12000005
SY134,WLS_RGN
SY147,E12000002
SY147,WLS_RGN
SY147,E12000005
SY148,E12000002
SY148,E12000005
SY156,E12000005
SY156,WLS_RGN
SY218,WLS_RGN
SY218,E12000005
SY226,E12000005
SY226,WLS_RGN
SY5 0,E12000005
SY5 0,WLS_RGN
SY5 9,E12000005
SY5 9,WLS_RGN
SY7 8,E12000005
SY7 8,WLS_RGN
SY9 5,E12000005
SY9 5,WLS_RGN
TD124,E12000001
TD124,SCO_RGN
TD151,E12000001
TD151,SCO_RGN
TD5 8,SCO_RGN
TD5 8,E12000001
TD9 0,SCO_RGN
TD9 0,E12000002
TF9 3,E12000005
TF9 3,E12000002
TN147,E12000007
TN147,E12000008
TN161,E12000008
TN161,E12000007
TN162,E12000007
TN162,E12000008
TS134,E12000001
TS134,E12000003
TS135,E12000003
TS135,E12000001
TS150,E12000003
TS150,E12000001
TS159,E12000001
TS159,E12000003
TS7 0,E12000001
TS7 0,E12000003
TS8 0,E12000001
TS8 0,E12000003
TS8 9,E12000001
TS8 9,E12000003
TS9 6,E12000003
TS9 6,E12000001
TW122,E12000007
TW122,E12000008
TW148,E12000007
TW148,E12000008
TW151,E12000007
TW151,E12000008
TW196,E12000008
TW196,E12000007
TW197,E12000008
TW197,E12000007
TW6 3,E12000007
TW6 3,E12000008
UB8 1,E12000007
UB8 1,E12000008
UB9 5,E12000008
UB9 5,E12000007
UB9 6,E12000007
UB9 6,E12000006
WD231,E12000006
WD231,E12000007
WD3 1,E12000006
WD3 1,E12000007
WD3 5,E12000006
WD3 5,E12000008
WD3 6,E12000006
WD3 6,E12000008
WD3 8,E12000006
WD3 8,E12000007
WD3 9,E12000006
WD3 9,E12000008
WD6 2,E12000006
WD6 2,E12000007
WR117,E12000005
WR117,E12000009
WR127,E12000005
WR127,E12000009
WR136,E12000005
WR136,E12000009
WR8 9,E12000005
WR8 9,E12000009
