PCS,PCD,PCT,PCA,RGN
AB101,AB10,PCT0004,AB,SCO_RGN
AB106,AB10,PCT0004,AB,SCO_RGN
AB107,AB10,PCT0004,AB,SCO_RGN
AB115,AB11,PCT0004,AB,SCO_RGN
AB116,AB11,PCT0004,AB,SCO_RGN
AB117,AB11,PCT0004,AB,SCO_RGN
AB118,AB11,PCT0004,AB,SCO_RGN
AB119,AB11,PCT0004,AB,SCO_RGN
AB123,AB12,PCT0004,AB,SCO_RGN
AB124,AB12,PCT0004,AB,SCO_RGN
AB125,AB12,PCT0004,AB,SCO_RGN
AB130,AB13,PCT0875,AB,SCO_RGN
AB140,AB14,PCT0995,AB,SCO_RGN
AB154,AB15,PCT0004,AB,SCO_RGN
AB155,AB15,PCT0004,AB,SCO_RGN
AB156,AB15,PCT0004,AB,SCO_RGN
AB157,AB15,PCT0004,AB,SCO_RGN
AB158,AB15,PCT0004,AB,SCO_RGN
AB159,AB15,PCT0004,AB,SCO_RGN
AB165,AB16,PCT0004,AB,SCO_RGN
AB166,AB16,PCT0004,AB,SCO_RGN
AB167,AB16,PCT0004,AB,SCO_RGN
AB210,AB21,PCT0004,AB,SCO_RGN
AB217,AB21,PCT0004,AB,SCO_RGN
AB219,AB21,PCT0004,AB,SCO_RGN
AB228,AB22,PCT0004,AB,SCO_RGN
AB229,AB22,PCT0004,AB,SCO_RGN
AB238,AB23,PCT0004,AB,SCO_RGN
AB241,AB24,PCT0004,AB,SCO_RGN
AB242,AB24,PCT0004,AB,SCO_RGN
AB243,AB24,PCT0004,AB,SCO_RGN
AB244,AB24,PCT0004,AB,SCO_RGN
AB245,AB24,PCT0004,AB,SCO_RGN
AB251,AB25,PCT0004,AB,SCO_RGN
AB252,AB25,PCT0004,AB,SCO_RGN
AB253,AB25,PCT0004,AB,SCO_RGN
AB301,AB30,PCT0730,AB,SCO_RGN
AB314,AB31,PCT0086,AB,SCO_RGN
AB315,AB31,PCT0086,AB,SCO_RGN
AB316,AB31,PCT0086,AB,SCO_RGN
AB326,AB32,PCT1365,AB,SCO_RGN
AB327,AB32,PCT1365,AB,SCO_RGN
AB338,AB33,PCT0020,AB,SCO_RGN
AB344,AB34,PCT0011,AB,SCO_RGN
AB345,AB34,PCT0011,AB,SCO_RGN
AB355,AB35,PCT0076,AB,SCO_RGN
AB368,AB36,PCT1215,AB,SCO_RGN
AB379,AB37,PCT0077,AB,SCO_RGN
AB387,AB38,PCT0008,AB,SCO_RGN
AB389,AB38,PCT0008,AB,SCO_RGN
AB392,AB39,PCT1204,AB,SCO_RGN
AB393,AB39,PCT1204,AB,SCO_RGN
AB398,AB39,PCT1204,AB,SCO_RGN
AB416,AB41,PCT0449,AB,SCO_RGN
AB417,AB41,PCT0449,AB,SCO_RGN
AB418,AB41,PCT0449,AB,SCO_RGN
AB419,AB41,PCT0449,AB,SCO_RGN
AB420,AB42,PCT0996,AB,SCO_RGN
AB421,AB42,PCT0996,AB,SCO_RGN
AB422,AB42,PCT0996,AB,SCO_RGN
AB423,AB42,PCT0996,AB,SCO_RGN
AB424,AB42,PCT0996,AB,SCO_RGN
AB425,AB42,PCT0996,AB,SCO_RGN
AB436,AB43,PCT0495,AB,SCO_RGN
AB437,AB43,PCT0495,AB,SCO_RGN
AB438,AB43,PCT0495,AB,SCO_RGN
AB439,AB43,PCT0495,AB,SCO_RGN
AB441,AB44,PCT0829,AB,SCO_RGN
AB451,AB45,PCT0087,AB,SCO_RGN
AB452,AB45,PCT0087,AB,SCO_RGN
AB453,AB45,PCT0087,AB,SCO_RGN
AB510,AB51,PCT0644,AB,SCO_RGN
AB513,AB51,PCT0644,AB,SCO_RGN
AB514,AB51,PCT0644,AB,SCO_RGN
AB515,AB51,PCT0644,AB,SCO_RGN
AB516,AB51,PCT0644,AB,SCO_RGN
AB517,AB51,PCT0644,AB,SCO_RGN
AB518,AB51,PCT0644,AB,SCO_RGN
AB526,AB52,PCT0638,AB,SCO_RGN
AB534,AB53,PCT1296,AB,SCO_RGN
AB535,AB53,PCT1296,AB,SCO_RGN
AB536,AB53,PCT1296,AB,SCO_RGN
AB538,AB53,PCT1296,AB,SCO_RGN
AB544,AB54,PCT0628,AB,SCO_RGN
AB546,AB54,PCT0628,AB,SCO_RGN
AB547,AB54,PCT0628,AB,SCO_RGN
AB548,AB54,PCT0628,AB,SCO_RGN
AB554,AB55,PCT0675,AB,SCO_RGN
AB555,AB55,PCT0675,AB,SCO_RGN
AB556,AB55,PCT0675,AB,SCO_RGN
AB561,AB56,PCT0224,AB,SCO_RGN
AB564,AB56,PCT0224,AB,SCO_RGN
AB565,AB56,PCT0224,AB,SCO_RGN
AL1 1,AL1,PCT1174,AL,E12000006
AL1 2,AL1,PCT1174,AL,E12000006
AL1 3,AL1,PCT1174,AL,E12000006
AL1 4,AL1,PCT1174,AL,E12000006
AL1 5,AL1,PCT1174,AL,E12000006
AL100,AL10,PCT0566,AL,E12000006
AL108,AL10,PCT0566,AL,E12000006
AL109,AL10,PCT0566,AL,E12000006
AL2 1,AL2,PCT1174,AL,E12000006
AL2 2,AL2,PCT1174,AL,E12000006
AL2 3,AL2,PCT1174,AL,E12000006
AL3 4,AL3,PCT1174,AL,E12000006
AL3 5,AL3,PCT1174,AL,E12000006
AL3 6,AL3,PCT1174,AL,E12000006
AL3 7,AL3,PCT1174,AL,E12000006
AL3 8,AL3,PCT1174,AL,E12000006
AL4 0,AL4,PCT1174,AL,E12000006
AL4 8,AL4,PCT1174,AL,E12000006
AL4 9,AL4,PCT1174,AL,E12000006
AL5 1,AL5,PCT0558,AL,E12000006
AL5 2,AL5,PCT0558,AL,E12000006
AL5 3,AL5,PCT0558,AL,E12000006
AL5 4,AL5,PCT0558,AL,E12000006
AL5 5,AL5,PCT0558,AL,E12000006
AL6 0,AL6,PCT1347,AL,E12000006
AL6 9,AL6,PCT1347,AL,E12000006
AL7 1,AL7,PCT1348,AL,E12000006
AL7 2,AL7,PCT1348,AL,E12000006
AL7 3,AL7,PCT1348,AL,E12000006
AL7 4,AL7,PCT1348,AL,E12000006
AL8 6,AL8,PCT1348,AL,E12000006
AL8 7,AL8,PCT1348,AL,E12000006
AL9 5,AL9,PCT0566,AL,E12000006
AL9 6,AL9,PCT0566,AL,E12000006
AL9 7,AL9,PCT0566,AL,E12000006
B1  1,B1,PCT0152,B,E12000005
B1  2,B1,PCT0152,B,E12000005
B1  3,B1,PCT0152,B,E12000005
B10 0,B10,PCT0152,B,E12000005
