PCA,PCTw,PCTn,PCTo
AB,Alford (Aberdeenshire),Alford (AB),Alford
LN,Alford (Lincolnshire),Alford (LN),Alford
TN,Ashford (Kent),Ashford (TN),Ashford
TW,Ashford (Surrey),Ashford (TW),Ashford
BT,Bangor (County Down),Bangor (BT),Bangor
LL,Bangor (Gwynedd),Bangor (LL),Bangor
BA,Bath (Somerset),Bath (BA),Bath
EH,Bathgate (West Lothian),Bathgate (EH),Bathgate
BD,Bradford (West Yorkshire),Bradford (BD),Bradford
BA,Bradford-On-Avon (Wiltshire),Bradford-On-Avon (BA),Bradford-On-Avon
PA,Bridge Of Orchy (Argyll),Bridge Of Orchy (PA),Bridge Of Orchy
PA,Bridge Of Weir (Renfrewshire),Bridge Of Weir (PA),Bridge Of Weir
CM,Burnham-On-Crouch (Essex),Burnham-On-Crouch (CM),Burnham-On-Crouch
TA,Burnham-On-Sea (Somerset),Burnham-On-Sea (TA),Burnham-On-Sea
SY,Ellesmere (Shropshire),Ellesmere (SY),Ellesmere
CH,Ellesmere Port (Cheshire),Ellesmere Port (CH),Ellesmere Port
ME,Gillingham (Kent),Gillingham (ME),Gillingham
SP,Gillingham (Dorset),Gillingham (SP),Gillingham
LL,Llandudno (Conwy),Llandudno (LL),Llandudno
LL,Llandudno Junction (Conwy),Llandudno Junction (LL),Llandudno Junction
E,London,London (E),London
EC,London,London (EC),London
N,London,London (N),London
NW,London,London (NW),London
SE,London,London (SE),London
SW,London,London (SW),London
W,London,London (W),London
WC,London,London (WC),London
BT,Newcastle (County Down),Newcastle (BT),Newcastle
ST,Newcastle (Newcastle-Under-Lyme,Newcastle (ST),Newcastle
SA,Newcastle Emlyn (Carmarthenshire),Newcastle Emlyn (SA),Newcastle Emlyn
NE,Newcastle Upon Tyne (Tyne And Wear),Newcastle Upon Tyne (NE),Newcastle Upon Tyne
TD,Newcastleton (Roxburghshire),Newcastleton (TD),Newcastleton
NP,Newport (Monmouthshire),Newport (NP),Newport
PO,Newport (Isle Of Wight),Newport (PO),Newport
SA,Newport (Pembrokeshire),Newport (SA),Newport
TF,Newport (Shropshire),Newport (TF),Newport
MK,Newport Pagnell (Buckinghamshire),Newport Pagnell (MK),Newport Pagnell
DD,Newport-On-Tay (Fife),Newport-On-Tay (DD),Newport-On-Tay
DL,Richmond (North Yorkshire),Richmond (DL),Richmond
TW,Richmond (Greater London),Richmond (TW),Richmond
PE,St. Ives (Huntingdonshire),St. Ives (PE),St. Ives
TR,St. Ives (Cornwall),St. Ives (TR),St. Ives
LL,Talybont (Gwynedd),Talybont (LL),Talybont
SY,Talybont (Ceredigion),Talybont (SY),Talybont
CO,Walton On The Naze (Essex),Walton On The Naze (CO),Walton On The Naze
KT,Walton-On-Thames (Surrey),Walton-On-Thames (KT),Walton-On-Thames
RG,Whitchurch (Hampshire),Whitchurch (RG),Whitchurch
SY,Whitchurch (Shropshire),Whitchurch (SY),Whitchurch
WR,Worcester (Worcestershire),Worcester (WR),Worcester
KT,Worcester Park (Greater London),Worcester Park (KT),Worcester Park
